Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
67,Exit short,2019-05-03 16:00,Exit Short Trailing,26467,38.3,1013877.6,191.5,0.02,268.1,0.03,-153.2,-0.02,15261.6,1.53
67,Entry short,2019-05-03 15:55,Short,26472,38.3,1013877.6,191.5,0.02,268.1,0.03,-153.2,-0.02,15261.6,1.53
68,Exit long,2019-05-13 16:05,Cierre forzoso fin sesión,25340,40,1014440,-840,-0.08,160,0.02,-1360,-0.13,14421.6,1.44
68,Entry long,2019-05-13 16:00,Long,25361,40,1014440,-840,-0.08,160,0.02,-1360,-0.13,14421.6,1.44
69,Exit short,2019-06-07 15:50,Exit Short Trailing,26009,39,1014234,-117,-0.01,702,0.07,-156,-0.02,14304.6,1.43
69,Entry short,2019-06-07 15:45,Short,26006,39,1014234,-117,-0.01,702,0.07,-156,-0.02,14304.6,1.43
70,Exit long,2019-07-19 15:45,Exit Long Trailing,27267,37.1,1011717,-111.3,-0.01,296.8,0.03,-593.6,-0.06,14193.3,1.42
70,Entry long,2019-07-19 15:40,Long,27270,37.1,1011717,-111.3,-0.01,296.8,0.03,-593.6,-0.06,14193.3,1.42
71,Exit short,2019-07-29 16:05,Cierre forzoso fin sesión,27268,37.1,1011828.3,185.5,0.02,333.9,0.03,-593.6,-0.06,14378.8,1.44
71,Entry short,2019-07-29 15:35,Short,27273,37.1,1011828.3,185.5,0.02,333.9,0.03,-593.6,-0.06,14378.8,1.44
72,Exit long,2019-07-31 16:05,Cierre forzoso fin sesión,27239,37.2,1013328,-37.2,0.00,186,0.02,-260.4,-0.03,14341.6,1.43
72,Entry long,2019-07-31 15:55,Long,27240,37.2,1013328,-37.2,0.00,186,0.02,-260.4,-0.03,14341.6,1.43
73,Exit short,2019-08-01 16:05,Cierre forzoso fin sesión,27147,37.3,1012508.5,-74.6,-0.01,484.9,0.05,-186.5,-0.02,14267,1.43
73,Entry short,2019-08-01 16:00,Short,27145,37.3,1012508.5,-74.6,-0.01,484.9,0.05,-186.5,-0.02,14267,1.43
74,Exit long,2019-08-05 15:55,Exit Long Trailing,25919,39,1012401,-1560,-0.15,390,0.04,-1560,-0.15,12707,1.27
74,Entry long,2019-08-05 15:50,Long,25959,39,1012401,-1560,-0.15,390,0.04,-1560,-0.15,12707,1.27
75,Exit long,2019-09-02 15:55,Exit Long Trailing,26163,38.6,1010200.6,-308.8,-0.03,694.8,0.07,-2586.2,-0.26,12398.2,1.24
75,Entry long,2019-09-02 15:50,Long,26171,38.6,1010200.6,-308.8,-0.03,694.8,0.07,-2586.2,-0.26,12398.2,1.24
76,Exit long,2019-09-24 15:45,Exit Long Trailing,26904,37.6,1012304.8,-714.4,-0.07,526.4,0.05,-940,-0.09,11683.8,1.17
76,Entry long,2019-09-24 15:40,Long,26923,37.6,1012304.8,-714.4,-0.07,526.4,0.05,-940,-0.09,11683.8,1.17
77,Exit long,2019-10-08 15:40,Exit Long Trailing,26176,38.6,1009312.8,1080.8,0.11,1544,0.15,-193,-0.02,12764.6,1.28
77,Entry long,2019-10-08 15:35,Long,26148,38.6,1009312.8,1080.8,0.11,1544,0.15,-193,-0.02,12764.6,1.28
78,Exit long,2019-10-29 16:05,Cierre forzoso fin sesión,27070,37.4,1012118.8,299.2,0.03,1047.2,0.10,-860.2,-0.08,13063.8,1.31
