Trade #,Type,Date/Time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Run-up USD,Run-up %,Drawdown USD,Drawdown %,Cumulative P&L USD,Cumulative P&L %
4755,Exit short,2021-02-02 06:05,Exit Short Trailing,30396,32.8,997316.8,328,0.03,426.4,0.04,-229.6,-0.02,-194,-0.02
4755,Entry short,2021-02-02 06:00,Short,30406,32.8,997316.8,328,0.03,426.4,0.04,-229.6,-0.02,-194,-0.02
4756,Exit short,2021-02-02 07:35,Exit Short Trailing,30360,32.9,998186,-658,-0.07,460.6,0.05,-822.5,-0.08,-852,-0.09
4756,Entry short,2021-02-02 07:05,Short,30340,32.9,998186,-658,-0.07,460.6,0.05,-822.5,-0.08,-852,-0.09
4757,Exit short,2021-02-02 12:20,Exit Short Trailing,30466,32.7,996140.1,-98.1,-0.01,1013.7,0.10,-261.6,-0.03,-950.1,-0.10
4757,Entry short,2021-02-02 11:25,Short,30463,32.7,996140.1,-98.1,-0.01,1013.7,0.10,-261.6,-0.03,-950.1,-0.10
4758,Exit short,2021-02-02 16:10,Exit Short Trailing,30818,32.4,997984.8,-518.4,-0.05,162,0.02,-583.2,-0.06,-1468.5,-0.15
4758,Entry short,2021-02-02 16:05,Short,30802,32.4,997984.8,-518.4,-0.05,162,0.02,-583.2,-0.06,-1468.5,-0.15
4759,Exit short,2021-02-02 18:00,Exit Short Trailing,30823,32.4,998114.4,-550.8,-0.06,615.6,0.06,-550.8,-0.06,-2019.3,-0.20
4759,Entry short,2021-02-02 17:20,Short,30806,32.4,998114.4,-550.8,-0.06,615.6,0.06,-550.8,-0.06,-2019.3,-0.20
4760,Exit short,2021-02-02 19:00,Exit Short Trailing,30778,32.4,996397.2,-810,-0.08,0,0.00,-810,-0.08,-2829.3,-0.28
4760,Entry short,2021-02-02 18:55,Short,30753,32.4,996397.2,-810,-0.08,0,0.00,-810,-0.08,-2829.3,-0.28
4761,Exit long,2021-02-03 11:05,Exit Long Trailing,30725,32.4,995749.2,-259.2,-0.03,615.6,0.06,-259.2,-0.03,-3088.5,-0.31
4761,Entry long,2021-02-03 10:40,Long,30733,32.4,995749.2,-259.2,-0.03,615.6,0.06,-259.2,-0.03,-3088.5,-0.31
4762,Exit long,2021-02-03 14:05,Exit Long Trailing,30660,32.4,994388.4,-1004.4,-0.10,291.6,0.03,-1004.4,-0.10,-4092.9,-0.41
4762,Entry long,2021-02-03 13:20,Long,30691,32.4,994388.4,-1004.4,-0.10,291.6,0.03,-1004.4,-0.10,-4092.9,-0.41
4763,Exit long,2021-02-03 14:15,Exit Long Trailing,30652,32.4,993124.8,0,0.00,421.2,0.04,-421.2,-0.04,-4092.9,-0.41
4763,Entry long,2021-02-03 14:10,Long,30652,32.4,993124.8,0,0.00,421.2,0.04,-421.2,-0.04,-4092.9,-0.41
4764,Exit long,2021-02-03 14:35,Exit Long Trailing,30653,32.5,994500,1722.5,0.17,1885,0.19,-455,-0.05,-2370.4,-0.24
4764,Entry long,2021-02-03 14:30,Long,30600,32.5,994500,1722.5,0.17,1885,0.19,-455,-0.05,-2370.4,-0.24
4765,Exit long,2021-02-03 15:35,Exit Long Trailing,30544,32.6,995832.2,-97.8,-0.01,749.8,0.08,-489,-0.05,-2468.2,-0.25
4765,Entry long,2021-02-03 15:30,Long,30547,32.6,995832.2,-97.8,-0.01,749.8,0.08,-489,-0.05,-2468.2,-0.25
4766,Exit short,2021-02-03 21:10,Exit Short Trailing,30790,32.4,997012.8,-583.2,-0.06,162,0.02,-583.2,-0.06,-3051.4,-0.31
